word,score
disappointing,0.029837131573120665
didn,0.02683852646196019
unfortunately,0.026312447512833466
left,0.022654223186029346
desired,0.02106365475255402
wasn,0.019263335665222245
felt,0.0188021895485282
frustrating,0.018749358819731055
better,0.01681952639333991
minutes,0.014453703885956994
quite,0.013146471116993096
customer,0.012659553943498188
like,0.0116397948493679
manager,0.011407145054876347
anytime,0.01131162879180912
ended,0.010755737800719676
expected,0.010605849244484386
lacking,0.010525200002119445
soon,0.010491366724688912
expectations,0.010471790749548116
issues,0.010454159993359722
meet,0.010303840484973093
really,0.010198453667932456
lot,0.00980658153353174
service,0.008987729878420246
hopes,0.008954305864229394
order,0.00879864004188665
fell,0.008758261859091045
asked,0.008502320928909558
wouldn,0.007878334384456528
took,0.007872020332957565
concerns,0.007773429407140986
hoped,0.007716617869041105
feeling,0.007687092511178849
hoping,0.007675773315421982
waiting,0.007633303595216156
instead,0.007599040328888362
told,0.0075894933847948974
customers,0.007533707315550679
think,0.007412452269379912
pretty,0.007344253869110971
arrived,0.007234613939291786
received,0.007078619814990063
mentioned,0.006866026886973826
ll,0.006856491112413895
decided,0.00661389201072361
consider,0.006595355000078009
informed,0.006462857163995256
waited,0.006401084889334038
finally,0.006234507378480982
response,0.006206446499604775
wanted,0.006112093716660045
issue,0.006075659472660956
help,0.0060519942192598705
situation,0.005958442053302191
management,0.005874704384991143
hard,0.00586277116207505
long,0.005854691314828239
lacked,0.005787352270852067
car,0.005689884803432394
high,0.005623850738801266
leave,0.005595513472688631
improve,0.005580726098399406
lack,0.00552177099311832
somewhat,0.005311002975032408
hope,0.0052911346909430175
noticed,0.005217884414513222
disappointed,0.005119238787155558
future,0.0051183105330817845
improvement,0.0050472328717026445
underwhelming,0.004887029436014941
came,0.004803893071242474
hesitant,0.0047754124564674625
considering,0.004702387188919877
weren,0.004680612160395064
shame,0.004619089252552996
short,0.004616699088200359
given,0.00447474026171708
say,0.004453889881216945
potential,0.004390374003692155
twice,0.004390256692947196
excessive,0.004389069699850964
putting,0.0043717232423862076
additionally,0.004344089395201832
dismissive,0.0042344151028392415
phone,0.0042228879268766195
concerning,0.004209543343294357
leaving,0.004199504437700254
communication,0.0041182253995789815
live,0.004097883611431999
refund,0.004094519924599004
experience,0.004090113435839059
30,0.004019045648985591
needs,0.004004473952843026
significant,0.003951810196981566
20,0.003946618655104711
feels,0.003944816368276357
later,0.003885427406349429
attitude,0.0038394275991110102
eventually,0.003798910687510205
appointment,0.0037491117009069447
reached,0.0037136705834387093
paying,0.00371295282926766
pay,0.0036994254609575786
closed,0.0035752573569035563
address,0.0035493521018556324
15,0.0035109576060392755
based,0.003507016965934179
returned,0.003501153987382318
hour,0.00348396536029381
overwhelmed,0.0034485921350635605
multiple,0.0034085860429078785
member,0.003382641008366962
suggest,0.003380486192375217
check,0.003376854462019933
employee,0.0033670406340145986
10,0.003363010538999376
charged,0.0032934701980738544
understand,0.003227388290912356
got,0.003219351590709185
paid,0.0032159719959300686
leaves,0.003194680957066544
hours,0.0031418914821831076
owner,0.0031389880436347092
receive,0.0030962670813991415
probably,0.0030922100126590225
work,0.0030566777870496744
matters,0.0030417501060286158
sure,0.003020251065674163
needed,0.0030063083361885025
table,0.003006033100055266
spoke,0.003005250418066347
just,0.0029710000558776928
card,0.002970822077890168
business,0.0029684924199320814
need,0.00295455260388247
speak,0.0029411682573170727
delivery,0.002901453435627863
unfortunate,0.0029010063408699727
underwhelmed,0.00290066856739627
things,0.0028927086835486586
ultimately,0.0028880510100086267
assistance,0.0028799046909718093
missed,0.002859308157755146
overly,0.0028508654006487357
nearly,0.0028465005567642524
brought,0.002833510765663991
mark,0.0028304092516498475
used,0.002806889060982771
sadly,0.0028023777031577287
spending,0.00279939274352815
tough,0.0027643744894904647
assured,0.0027485401285576964
approached,0.0027453189780538476
cleanliness,0.0027246612679620577
best,0.0027147830501848946
insisted,0.0027134920112238735
clear,0.002696857752211072
apology,0.002688114948628595
store,0.002655918563370558
hadn,0.0026550856811123837
desk,0.002647814850667794
overlooked,0.0026401915437701214
turn,0.0026391196350458255
properly,0.002627215820169506
staff,0.002625360282705859
spent,0.0026201133593073906
average,0.0026181404422998705
want,0.0026126418646990283
45,0.002606297362233922
reconsider,0.0025955471899143687
employees,0.0025937292496931302
arrive,0.002593600691145465
ordered,0.002582098654858204
requested,0.002545739826556366
waitress,0.0025316016940202107
pm,0.002528166455760037
checked,0.0025120189184486986
server,0.0025079785977170175
encountered,0.00249929497225306
cleaning,0.002499275797152535
rushing,0.0024969288412598073
reviews,0.002482206680486306
frustrated,0.00247652524053515
credit,0.0024758596143825335
charge,0.002467171293757061
ask,0.002466217258249091
uneasy,0.002457755747981189
called,0.002454465163576642
longer,0.0024237119463562575
orders,0.0024158214802245488
attention,0.002384551419412363
recent,0.0023836937002216863
suggested,0.0023628301345221554
likely,0.002348474573645792
changed,0.0023096779721515372
appeared,0.002307140005320652
water,0.00228250160122026
experiences,0.0022705865370363024
taking,0.0022705123384597335
smell,0.002268604906209941
follow,0.0022653936902234575
damper,0.002254195259301083
focused,0.0022437842278791842
months,0.002238799013339886
odd,0.002231934281849965
line,0.0022313952598517293
basic,0.0022183362079148078
wash,0.0022140345816989387
company,0.0022100910728418584
use,0.0021949200537194364
chance,0.0021810566433956517
options,0.0021803558330254404
lackluster,0.002173761781201151
frustration,0.0021622673139054974
unsettling,0.0021493431822443153
cautious,0.002147476574007979
visited,0.0021437248795304533
disheartening,0.0021367666616520604
handle,0.0021264772824879322
days,0.0021261407139332804
promised,0.002125299615214602
taken,0.0021229675863193693
booked,0.0021216872505113163
approach,0.002117915081865043
saying,0.002106761018942095
missing,0.002095662228578713
afterward,0.002090478971760262
information,0.0020887684440549044
sign,0.0020880601460152486
claimed,0.002077720573856686
office,0.0020748258217237296
additional,0.0020712274981280585
inquired,0.002070413615729803
caution,0.002065838264632606
faced,0.0020650999641871667
acknowledge,0.0020645859660813172
asking,0.0020493205086146897
surprising,0.0020472919397014474
prioritize,0.0020428657093746723
addressing,0.0020407700195497727
driver,0.0020405389194811663
unwell,0.002034759768516407
security,0.0020336704125811338
lukewarm,0.002022204870298394
struggled,0.0020130020767696252
saw,0.002012645328905466
placed,0.0020068271806318967
cancel,0.002006029213870728
redeeming,0.002004975956893058
seated,0.0019996617963976343
unnecessary,0.0019932621125601005
purchase,0.0019457026844454956
proper,0.0019436457859903968
hair,0.0019383575984362226
doctor,0.0019343498005952322
undercooked,0.0019285837299278202
counter,0.0019208217075479374
difficult,0.001917274270314329
isn,0.0018794942231010335
rush,0.0018788352324544452
said,0.0018767225115785629
strange,0.001870995874541326
weeks,0.0018699696283208064
necessary,0.0018696106133248628
noticeable,0.0018679527072308216
raised,0.0018649951624806975
similar,0.0018461189591666822
ahead,0.0018344012556760691
impression,0.0018325116053236985
write,0.0018311683643872814
groupon,0.00182560971635472
checking,0.0018234311954292565
chatting,0.0018128224299882917
fees,0.0018117554964505347
wrong,0.0018108692321597785
tables,0.0018081256349691596
incident,0.001806837613072695
overlook,0.0017999553188728268
waiter,0.0017948244961237926
lengthy,0.001793471435488071
detracted,0.0017911906931552845
affected,0.001789431755573887
end,0.0017813584278413928
overshadowed,0.0017789306844105475
case,0.0017706465480929832
change,0.0017702574410329713
doubt,0.0017687768684114269
sent,0.0017597870484393876
request,0.0017582963693238667
lost,0.0017504989893017302
regarding,0.0017456925278194796
cold,0.0017303803182803328
ideal,0.0017275554327901912
interaction,0.0017169060861626914
today,0.0017131698029514606
falls,0.001710840257896899
technician,0.0017085020702244974
expecting,0.001704936927941872
expressed,0.0016964022784049107
make,0.0016884185199389865
hostess,0.0016879063917844008
uncomfortable,0.0016857938075757308
disappointingly,0.0016811593424412145
woman,0.0016771318823960383
insurance,0.001675587584497705
okay,0.0016690010802031003
happen,0.001668200391097427
assist,0.0016607277626770613
cost,0.0016592231332296864
unless,0.0016567151751927301
trying,0.0016545766840685141
qualities,0.0016509302217213382
40,0.0016452088129211288
wonder,0.0016303103456617246
went,0.001627250509618732
fully,0.0016165032417436642
sort,0.0016103365455020667
door,0.0016075048256087923
unlikely,0.00160145450431495
receipt,0.0015946361984865412
fee,0.0015907143560511643
different,0.0015879473073051199
incorrect,0.0015837565568563839
finished,0.0015738380093561835
cashier,0.0015634789098285338
decide,0.0015558542285249444
worst,0.0015468078899241126
nails,0.001540660265988672
bartender,0.0015351152309544722
drive,0.0015343544089551275
receiving,0.001529288859435912
particularly,0.0015278567900546595
number,0.001520438177867475
proceed,0.0015185002583667684
having,0.0015180466580605708
shouldn,0.0015164320018491312
website,0.001514073874266437
feedback,0.0015099265027516775
policy,0.0015090297859053257
questionable,0.0014942503105158937
confusion,0.0014915632224080573
shot,0.0014889130281938124
appealing,0.0014876893598991976
unpleasant,0.001485717900688179
simple,0.0014834198746251223
pointed,0.0014832630416747386
negative,0.0014811416268598631
happened,0.0014667519411472826
fix,0.001460803139811587
comment,0.0014603590593107395
half,0.0014553910892908589
dampened,0.0014538063805183833
declined,0.0014525700211052792
purchased,0.001442018613596431
getting,0.00143967846268344
closing,0.0014371587350016685
neglected,0.0014358711564904172
noticeably,0.001428639571982081
despite,0.0014249983770308339
effort,0.0014232609780826006
location,0.0014202293925991531
health,0.0014199629329883648
provide,0.0014198052505226579
hold,0.0014180655318227382
charges,0.0014160963964115966
sit,0.0014125780756251984
maybe,0.0014119800279723128
account,0.0014111615077454882
reservation,0.0014088639896956132
services,0.0013939950124254165
using,0.0013920155453527407
improvements,0.0013896241582850443
abruptly,0.001389530032783609
contact,0.0013891639548473435
calls,0.0013864107399185568
safety,0.0013823874913514965
resolve,0.0013790772198665649
frozen,0.0013781680377234827
second,0.0013722742157804566
especially,0.001370999564842582
previous,0.00136952322689319
experienced,0.0013566235715785292
way,0.0013543437369709973
interested,0.0013534066967735132
person,0.0013431978035340752
aback,0.0013324514698258602
behavior,0.0013319895084788994
handed,0.0013255056869249592
years,0.001325059538409488
doesn,0.0013192591313190768
hasn,0.0013174011552041633
month,0.0013147936166638193
training,0.0013116628091582574
explained,0.0013053846262507645
inclined,0.0013050723780814722
past,0.0013000263778015996
resolution,0.001296352476545787
feel,0.0012927878714115559
acknowledgment,0.0012908128386477865
handling,0.001285595888378011
rough,0.0012854887576560817
walked,0.0012853495524348404
forgot,0.0012846057650844807
support,0.001283340743283586
ago,0.0012800418986404073
eating,0.0012794892668734881
concern,0.001278581894413044
professionalism,0.0012783569205909492
send,0.0012740961370610988
entirely,0.0012708097648799362
attempted,0.0012689175089864286
passable,0.0012652448211870762
bought,0.0012632092860018725
offered,0.0012602311015745193
positive,0.0012573840105112536
online,0.0012568810442799556
actually,0.0012528118913266847
kind,0.001251414352725866
unsure,0.0012462425135144244
available,0.0012456896675923776
repairs,0.0012416088234633753
question,0.001241406598168814
continued,0.0012411429364130421
hurry,0.0012404092003636255
guests,0.001240050002919307
correct,0.0012360668392616433
unfair,0.0012337781552114989
100,0.0012201227794016254
reaching,0.0012200645593977795
looking,0.001208080769937529
soured,0.0012052113604316182
tire,0.0011971065081733058
attempts,0.001194317942106798
dismissed,0.001193999504648072
replacement,0.0011912232462874743
problems,0.0011905625128207985
buy,0.0011876712100109318
share,0.0011740954571540737
concerned,0.001171806082328876
responded,0.0011689605910306493
couple,0.0011651829193605988
11,0.0011647382885103263
outright,0.0011638029701141674
justify,0.001162618716640371
return,0.0011594594201675777
confirmed,0.0011521669564116097
discuss,0.0011521513382097945
learned,0.0011517411767303916
nail,0.0011511914677992988
exactly,0.001150339407899191
curt,0.0011496253629312472
odor,0.001146941602420812
25,0.0011459642437678464
practices,0.0011458326311077796
vehicle,0.0011418080487900027
initially,0.0011407992763655555
maintenance,0.00113600203413704
questions,0.0011352595579004797
coupon,0.0011311939934765065
agreed,0.0011301760813343337
deliver,0.0011240341627207124
room,0.0011237777940769755
12,0.0011220001664257822
explanation,0.0011180286354915468
dealing,0.0011134740703420778
refused,0.0011089457497868152
mistakes,0.0011085801465950044
cab,0.0011062863203704031
gave,0.0011028141562648588
important,0.001102618573546763
decline,0.0011002086407658257
steep,0.0010993908479106172
delays,0.001097912529015096
email,0.001097517751529846
requests,0.0010969525473702212
puzzling,0.0010957084046188817
moving,0.00109556402259718
window,0.0010927792811475671
morning,0.0010927614600618938
representative,0.0010903217291448315
package,0.001086891832759127
billing,0.001085704965138524
leading,0.001085209058098303
unreasonable,0.001084370863448939
group,0.0010841871483719544
clarify,0.0010840716448638074
sales,0.0010818079152299161
managed,0.0010806399694279776
impress,0.001078661287006288
excessively,0.0010771523534390804
process,0.001073512144259321
claiming,0.001071659553061724
confirm,0.0010706126834305971
upset,0.0010699382086942902
00,0.0010685965351877665
distracted,0.0010685851445060813
met,0.0010628119341088659
quoted,0.001055160991944746
cleaned,0.0010533838986635036
problem,0.001052519781004581
rental,0.001052356121106841
working,0.0010518341264565542
14,0.001049531880099906
hear,0.0010467823779674616
stick,0.001045975645497452
meals,0.001042849682109675
present,0.0010411436620256995
struggling,0.0010409351719491131
recently,0.0010405487877816547
review,0.0010333533393141296
specifically,0.0010280298585834593
giving,0.001026456848529032
advertised,0.0010196778955273021
policies,0.0010177841616206492
thankfully,0.0010104884041856812
girl,0.0010094289318211404
significantly,0.0010086673961890926
contract,0.001004144858726422
compensation,0.0010037231547936594
repeatedly,0.0010028160769573631
attending,0.0010022883225725
unprofessional,0.001001062143218736
explain,0.0010003064116184054
inquire,0.0009999517638406878
ordering,0.0009984100010004522
addressed,0.000998171677440846
details,0.0009958450879626434
manage,0.0009950537660363607
match,0.0009941148660327498
kitchen,0.0009924604447101339
corporate,0.0009862913517124986
suggesting,0.000986023734389959
picked,0.0009811490938212764
understanding,0.0009787860818113322
confusing,0.0009768794084824585
discomfort,0.0009753750754024845
trash,0.0009698505761080618
frequently,0.0009686900976919187
loss,0.0009650257054987254
struggle,0.000964996506952997
item,0.0009646129485191171
stains,0.0009629500159050157
priority,0.0009616703971412877
measure,0.0009603954810165113
warranty,0.0009595863631788591
meant,0.0009568583572404256
head,0.0009539558478693544
paperwork,0.0009500226434436801
assisting,0.0009486817772813109
awkward,0.0009484728278065541
disorganized,0.000948446655551573
update,0.0009454016895148448
preoccupied,0.0009451867873564596
polish,0.0009445019532043663
advised,0.0009438628300505545
hygiene,0.0009433804335077949
overheard,0.0009431607552229542
impacted,0.0009426404863710632
questioning,0.0009397474645956733
delay,0.0009395502726115998
living,0.0009380134667744367
appetizing,0.0009363892954236674
confidence,0.000936308154702418
prior,0.0009349436897194195
plastic,0.0009310985884930126
heading,0.0009309141931382479
demeanor,0.0009297579920436165
followed,0.0009272866629945114
helpful,0.0009271297272401341
shortly,0.0009234945307562409
learn,0.0009232926727765411
condescending,0.000922082349778072
oil,0.0009217624712353212
agent,0.0009199358974409311
changes,0.0009190647157831192
guess,0.0009177091868391057
stuck,0.0009173328933529709
indicated,0.0009143731036304095
led,0.0009100041307215979
message,0.0009098428948403981
carpet,0.0009080708702761999
seen,0.0009057862427132523
aggressive,0.0009040535487844784
raises,0.0009039276277031136
ratings,0.00090223737905946
acceptable,0.0008974365875496665
guy,0.0008906947108672397
presence,0.0008906099046143164
rent,0.0008901813321841834
accidentally,0.0008895127337361615
someday,0.0008884805308071166
minute,0.0008866530778879815
wife,0.0008859820454700197
young,0.0008856734659666923
witnessed,0.0008824692595981861
directed,0.0008822201392478254
stating,0.0008810072613903452
remove,0.0008795918738225518
dissatisfaction,0.0008765355798747766
skills,0.0008753169328878645
nearby,0.0008741373299478131
treatment,0.0008729900143120263
specific,0.000872870235456143
unexpected,0.0008721716836256523
reach,0.0008716884755728574
female,0.0008692803026665752
finishing,0.0008688730002336363
police,0.0008682422437262207
register,0.0008651407439314337
realized,0.0008635417940954212
point,0.0008623593107445946
answered,0.0008618800367448769
respect,0.0008606620743332115
scheduled,0.0008580695865488595
product,0.0008575859652831972
inconvenient,0.0008566578383387717
cash,0.0008557553202585785
cox,0.0008555297440656666
thorough,0.0008554020173480835
acknowledged,0.0008549952112860491
grooming,0.0008529461879742903
owners,0.0008515937919664543
salesman,0.000851399724618578
promising,0.000850908603795914
unavailable,0.0008504369860968632
apologized,0.0008493370028109031
inconvenience,0.0008448107253827909
reminded,0.0008415261515320957
payment,0.0008415209353292866
clearly,0.0008408390493807884
listed,0.0008407942099685063
earlier,0.0008388971068516161
calling,0.0008385907976411483
exchange,0.0008384832460222678
canceled,0.0008355866646460635
replace,0.0008354698638891446
compelled,0.0008352763586447186
pushed,0.0008351556710756874
struggles,0.0008343098934880451
greet,0.000833447006523477
voice,0.0008326106756059652
ignore,0.0008268755673316803
receptionist,0.0008260674794946074
expect,0.000825659572766303
upfront,0.0008247070506581177
reheated,0.0008244806001423882
uncomfortably,0.0008243977668605598
defensive,0.0008222298932999046
ongoing,0.0008195506688137409
toilet,0.0008178734879641691
vet,0.0008168714430278748
indifferent,0.0008141602501485086
circumstances,0.0008128486499016272
certainly,0.000811426477588033
drove,0.0008101785973588104
stated,0.0008096877237240937
unexpectedly,0.0008046124886455545
prescription,0.0008032408154711409
extra,0.0008001858526918669
discount,0.000800158460064343
medical,0.0007981850614343735
burnt,0.000796591486994573
deciding,0.0007949477644358323
greeting,0.0007946694979392751
manner,0.0007931696273490047
industry,0.0007921472469597664
solution,0.0007910278186973245
courtesy,0.0007843364909015905
decent,0.0007839074279221668
results,0.0007828482910029755
marred,0.000782154215741112
resulting,0.0007791577108190555
initial,0.0007790622268997105
daughter,0.0007789888161547445
apologize,0.0007770440166513933
polite,0.0007767745070636103
thoughts,0.0007764901893912704
actual,0.0007763863662532335
members,0.0007756757955534
surprisingly,0.0007741150259521594
male,0.0007728747844691979
opportunity,0.0007724265054162378
involved,0.000771291138738974
placing,0.000769586288436551
charging,0.0007688596820573531
advance,0.0007669500946828457
reliability,0.0007663696683427309
locked,0.0007641110926212278
frustrations,0.0007636514021478795
pedicure,0.0007626347810254141
napkins,0.00076225803366054
casually,0.0007617600664469111
indicating,0.0007610896748546905
disengaged,0.0007574727617135897
practice,0.0007557833772480177
politely,0.0007545753965160433
ready,0.0007543706865612994
loyal,0.0007541856786219265
terms,0.0007536237843722496
apartment,0.000753551181095351
confused,0.0007520459064872595
outdated,0.0007519714135470342
pet,0.0007506271119955141
thinking,0.0007486933292030456
mediocre,0.0007446803454510499
inspire,0.0007442230280093469
uncertain,0.0007427901522627821
son,0.0007420636922472448
patrons,0.0007411063797631973
upselling,0.0007405918287270537
2014,0.0007398533934333811
invested,0.0007386575842819928
arrival,0.0007376295810140171
appears,0.0007351386665711203
friendlier,0.000734385797507614
straightforward,0.0007328795838217684
duty,0.0007326992008206845
dog,0.0007322658496800851
mother,0.0007313784301281029
entered,0.0007307382805625219
companies,0.0007302958074499821
resolving,0.0007295881605768617
began,0.0007293613844456206
inappropriate,0.0007290784540332628
alright,0.0007283263050705261
manicure,0.0007265990868736007
engaged,0.0007261784448062713
wish,0.0007256809276573453
managing,0.0007245527993333588
unable,0.0007234504546855007
35,0.0007223559125556619
inadequate,0.0007220309704876577
signed,0.000720756752445558
blame,0.0007203989096140817
transparency,0.0007199857178138516
unwelcome,0.0007190458354573882
prioritized,0.0007180848279936053
result,0.0007176122562957779
suddenly,0.0007165729449018968
conditioning,0.0007155497704445603
complicated,0.0007139466727648599
inform,0.0007138036503896132
comments,0.0007110108595119553
purchasing,0.0007109148673817422
damage,0.0007102252520785975
property,0.0007098437101546579
child,0.0007091330471930121
sleep,0.0007086522295406284
000,0.0007066992704718952
girlfriend,0.0007042052907511439
required,0.0007036212054177444
gone,0.0007032942509118019
planned,0.0007011427651827701
