word,score
mentioned,0.006586540066657369
just,0.005815927996447927
years,0.0049619224047139695
believes,0.0046011517058924655
like,0.004106708895399198
old,0.004016902851829205
decided,0.00398663714147526
shared,0.003610960550349983
claims,0.003368532130983086
known,0.0031262054998152274
right,0.0029889802408720363
important,0.0029806342035615693
time,0.0028707104417396018
away,0.002867155216524357
saying,0.0028241510592805453
really,0.0027166758996689504
used,0.002675912879983284
lot,0.0026238059795329234
created,0.0025843827485075646
shows,0.0025153199968193153
started,0.0024519327409327943
new,0.0024168172438548494
way,0.0023414845591870222
won,0.0022169577090614353
scored,0.0021418046131982324
seen,0.0021237833006946373
large,0.0020680083497731077
quickly,0.0020413563280738296
amazing,0.001988028027799949
world,0.0019738382856208754
believe,0.0019474406208335596
help,0.001918341366023325
explained,0.0018997238266364638
allowed,0.0018526681049265807
using,0.001848579217752042
ended,0.0018483517558405944
getting,0.0018315995285312558
believed,0.0018202785921583597
country,0.0018072759999514221
mother,0.001798193077302748
able,0.001796518938343628
comes,0.0017851482527434215
people,0.001756490164389007
lead,0.0017527578507001741
didn,0.0017510813023251756
called,0.0017453854441295815
asking,0.0017445332201906404
doesn,0.001741498531037737
strong,0.0017358471646652688
trying,0.0017074985698479067
given,0.0017063023403344872
end,0.0016943203999741348
play,0.0016937594779461375
change,0.0016876255236219044
don,0.0016477466912536583
ready,0.0016407098019118546
helping,0.0016241806592223475
caused,0.00162365268392092
making,0.001619331181524793
great,0.0015981567480936446
popular,0.001595525593719469
sent,0.0015687562914007518
home,0.0015636248929383218
main,0.0015605417746662126
different,0.001558649537287992
stuck,0.0015578752423909166
scientists,0.0015478740447578466
set,0.0015401734821794124
going,0.0015338372786094802
times,0.0015284353793790233
expected,0.0015174203688730573
work,0.0015052845472841043
game,0.001489017712182454
fans,0.0014805204211180475
make,0.0014748848900392447
sadly,0.0014489978383851665
meant,0.0014378416293895822
idea,0.001434875890588016
working,0.001420089381220835
plans,0.0014150141802748177
feel,0.0014124422821981735
come,0.001410449545896325
couldn,0.0013845279335526761
discovered,0.0013801613862704288
attacked,0.0013751002763241252
claimed,0.0013745207533899415
items,0.0013664590442657313
problems,0.0013612646141531017
uses,0.0013573126711838375
star,0.0013489117360533515
tough,0.0013455143743301833
win,0.0013327645658463136
passed,0.0013284065819039142
worried,0.0013209103050910666
unique,0.0013127860668967252
year,0.001305795345432903
accused,0.0012847120471019403
felt,0.0012845824310556257
killed,0.0012759784983324648
england,0.0012758800862593504
includes,0.0012653577485129662
bring,0.0012501627029023277
showed,0.0012442354527483618
past,0.0012390739264670665
named,0.0012358755341171212
miles,0.001235618529866923
looking,0.0012287027514998362
explains,0.0012282283887880656
lost,0.0012228767075280296
number,0.0012025400912831588
type,0.0012021464360384287
parents,0.001200795335092549
cat,0.0011968970946822166
look,0.0011920855785946217
mentions,0.0011905107035112513
huge,0.0011847081055303644
tried,0.0011725376074371372
team,0.0011671222615577273
sex,0.0011622184117604127
stores,0.001161513943767936
games,0.0011497932809606962
16,0.0011441113568365665
improve,0.0011406954498052813
exciting,0.00113348400806212
mars,0.0011326063172091981
calling,0.0011243019332362254
favorite,0.0011196534893597662
chance,0.00111743934630291
feels,0.0011148206805558136
having,0.0011138431489309815
managed,0.0011130506874334897
diet,0.0011077815005700376
famous,0.0011062099325629903
sold,0.0011050902688251756
start,0.0010989229118884567
married,0.0010969185337142318
12,0.0010933020939058024
wasn,0.0010849647831045113
moved,0.0010750195076818484
stated,0.0010698541295999483
building,0.0010650643592206273
means,0.0010590832311418523
companies,0.0010516188074362683
planned,0.0010500508818197815
running,0.0010455746031573137
sentenced,0.001045464929583808
planning,0.0010428247642938321
makes,0.0010389495370515737
party,0.0010380185103240117
treat,0.001036654406591634
announced,0.001034851315062861
car,0.0010299514548387074
tv,0.001024931990604839
apologized,0.0010169238722095685
group,0.001016129810233325
involved,0.0010155791139354648
banned,0.0010091192966455802
song,0.001008868760629499
living,0.0010066183707656679
create,0.001005912794886006
stone,0.0010039674303841811
kept,0.0010003096317808531
playing,0.000989852450123964
weight,0.0009880371270186016
changed,0.0009865151065230851
constitution,0.0009777570883394257
