word,score
stated,0.008281983039389297
according,0.0042705206014759765
expressed,0.003933296826371122
additionally,0.003670911024607316
currently,0.0036585381295775
described,0.0035564903822464956
recently,0.0034749988369584925
claims,0.003075492906052581
impressive,0.002986784923915118
criticized,0.00295162478316439
result,0.00292090404324097
argues,0.002866264665948336
stating,0.0028520836367796
discovered,0.0027652714887712467
president,0.0026811610452267464
situation,0.0026533907205128935
known,0.0025778979526876137
set,0.002530586171567676
received,0.0025178961103378915
government,0.002514487586963289
victory,0.00245422924314635
argue,0.0023803986542689256
facing,0.002299791850748508
revealed,0.00225968492727331
reported,0.0022591475290894693
faced,0.0022469744193769257
referred,0.0022396066143097228
investigation,0.0021580790994384755
calling,0.002155378268809809
security,0.0021424486330700217
concerns,0.002060675479985606
labeled,0.001986512967187404
announced,0.001972155042361351
authorities,0.0019389961128024728
issue,0.0019051754309543517
expected,0.0018835267614389889
report,0.0018628532438241668
states,0.0018496821947382941
unfortunately,0.0017925772729590205
information,0.001791130029995184
unique,0.001737585687415461
released,0.001731363809630794
claimed,0.001660774311295143
available,0.0016597443569550106
noted,0.0016557710145391807
incident,0.0016442664180408174
using,0.0016424140145659609
located,0.0016313774389580039
role,0.0015981545459702903
managed,0.0015497784372811244
british,0.0015420644709618707
difficult,0.0015411231653810686
campaign,0.0015102855550765313
leading,0.0014830003987600265
features,0.0014651316866985777
critics,0.0014578319927910127
issues,0.0014546310063538164
created,0.0014495333727918627
nearly,0.0014405713159514372
illegal,0.001425715009661017
general,0.0014238799763039666
occurred,0.0014228862792766798
highlights,0.0014222518069789756
major,0.0014135677600898568
response,0.0014089335007538895
national,0.001386617428363985
required,0.001363203137374158
obama,0.0013624052377877597
claim,0.0013557844525214791
involved,0.0013472633458313844
decision,0.0013437382671024783
emphasized,0.001338863057814629
points,0.001332822271341047
experience,0.0013183688704968175
eventually,0.001317606322676461
recognized,0.001303377828396905
federal,0.0012921065125881019
challenging,0.0012901754358569258
aims,0.0012881249456110034
possible,0.0012858539559801228
sexual,0.0012765431848064312
reports,0.0012542627364468127
fortunately,0.0012541267053922103
competition,0.0012531953739144282
manager,0.0012527392525397986
sentenced,0.0012463168816462956
return,0.0012457650693218144
attorney,0.001224353153074741
suffered,0.0012233101327578304
viewed,0.0012204411457367248
criticism,0.0012203345413715964
match,0.0012193452923058693
suggests,0.0012186373919635294
informed,0.0012128484653378528
consider,0.0012089664699900045
recent,0.0012026598032936495
provide,0.001201139920570527
